;CD_Concurso;id_cargo;Nivel;Region;Estado;SubEstado;Ministerio;Servicio;Fecha_Convocatoria;Fecha_Nomina;Fecha_Desierto;Year_Convocatoria;Year_Nomina;Year_Desierto;Desierto;Nomina;DesignacionDirecta;Duracion_Concurso;Fecha_Cierre_Concurso;Year_Cierre_Concurso;Cerrado;Fecha_Nombramiento;Year_Nombramiento;Periodo;Fecha_Renovacion;Costo_Concurso;FechaActualizacion
28;1023;II 194;II;Región de Antofagasta;Desierto;Desierto por Autoridad;Ministerio de Educación;Junta Nacional de Jardines Infantiles;2010-07-11;2010-10-28;2011-03-08;2010.0;2010.0;2011.0;1;1;0;109.0;2010-10-28;2010.0;1;;;0;;;2023-11-27 12:14:43.307
29;1024;II 200;II;Región de Magallanes y de la Antártica Chilena;Desierto;Desierto por Autoridad;Ministerio de Educación;Junta Nacional de Jardines Infantiles;2010-07-11;2010-10-28;2011-03-08;2010.0;2010.0;2011.0;1;1;0;109.0;2010-10-28;2010.0;1;;;0;;;2023-11-27 12:14:43.307
30;1025;II 69;II;Región de  Valparaíso;Nombrado;Desvinculado;Ministerio de Hacienda;Servicio Nacional de Aduanas;2011-04-10;2011-07-15;;2011.0;2011.0;;0;1;0;96.0;2011-07-15;2011.0;1;2011-08-09;2011.0;1;2014-08-08;;2023-11-27 12:14:43.307
31;1026;II 70;II;Región de  Valparaíso;Nombrado;Desvinculado;Ministerio de Hacienda;Servicio Nacional de Aduanas;2011-04-10;2011-07-11;;2011.0;2011.0;;0;1;0;85.0;2011-07-11;2011.0;1;2011-08-09;2011.0;1;2014-08-08;;2023-11-27 12:14:43.307
32;1027;II 534;II;Región del Biobío;Desierto;Desierto en Entrevistas;Ministerio de Salud;Servicio de Salud Arauco;2010-10-03;;;2010.0;;;1;0;0;;2010-12-13;2010.0;1;;;0;;;2023-11-27 12:14:43.307
33;1028;I 73;I;Región de Los Lagos;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Osorno;2010-04-25;2010-08-03;;2010.0;2010.0;;0;1;0;93.0;2010-08-03;2010.0;1;2010-08-12;2010.0;2;2016-08-10;;2023-11-27 12:14:43.307
34;1029;II 639;II;Región de Metropolitana de Santiago;Desierto;Desierto por Autoridad;Ministerio de Minería;Servicio Nacional de Geología y Minería;2010-07-04;2010-10-21;2010-12-15;2010.0;2010.0;2010.0;1;1;0;102.0;2010-10-21;2010.0;1;;;0;;;2023-11-27 12:14:43.307
35;103;II 419;II;Región de  Valparaíso;Desierto;Desierto por Autoridad;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;2005-07-03;2005-11-16;2006-01-10;2005.0;2005.0;2006.0;1;1;0;136.0;2005-11-16;2005.0;1;;;0;;;2023-11-27 12:14:43.307
36;1030;II 755;II;Región de Arica y Parinacota;Nombrado;Desvinculado;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;2010-04-25;2010-07-12;;2010.0;2010.0;;0;1;0;78.0;2010-07-12;2010.0;1;2010-08-11;2010.0;1;2013-08-10;;2023-11-27 12:14:43.307
37;1031;II 756;II;Región de Los Ríos;Nombrado;Desvinculado;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;2010-04-25;2010-07-12;;2010.0;2010.0;;0;1;0;78.0;2010-07-12;2010.0;1;2010-08-11;2010.0;1;2013-08-10;;2023-11-27 12:14:43.307
38;1032;II 341;II;Región de Metropolitana de Santiago;Desierto;Desierto en Entrevistas;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;2010-05-16;;;2010.0;;;1;0;0;;2010-08-11;2010.0;1;;;0;;;2023-11-27 12:14:43.307
39;1033;I 52;I;Región de  Atacama;Desierto;Desierto por Autoridad;Ministerio de Salud;Servicio de Salud Atacama;2010-04-25;2010-08-03;2010-09-01;2010.0;2010.0;2010.0;1;1;0;93.0;2010-08-03;2010.0;1;;;0;;;2023-11-27 12:14:43.307
40;1034;II 709;II;Región de  Valparaíso;Desierto;Desierto en Entrevistas;Ministerio de Salud;Servicio de Salud Aconcagua;2011-10-23;;;2011.0;;;1;0;0;;2011-12-27;2011.0;1;;;0;;;2023-11-27 12:14:43.307
41;1035;II 484;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Metropolitano Sur Oriente;2010-10-10;2010-12-27;;2010.0;2010.0;;0;1;0;78.0;2010-12-27;2010.0;1;2011-01-11;2011.0;2;2017-01-09;;2023-11-27 12:14:43.307
42;1036;II 647;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Minería;Comisión Chilena del Cobre;2010-05-16;2010-08-13;;2010.0;2010.0;;0;1;0;89.0;2010-08-13;2010.0;1;2010-09-24;2010.0;1;2013-09-23;;2023-11-27 12:14:43.307
43;1037;II 680;II;Región de Antofagasta;Nombrado;Desvinculado;Ministerio del Deporte;Instituto Nacional de Deportes de Chile;2010-07-25;2010-11-30;;2010.0;2010.0;;0;1;0;128.0;2010-11-30;2010.0;1;2011-01-21;2011.0;1;2014-01-20;;2023-11-27 12:14:43.307
44;1038;II 159;II;Región de Metropolitana de Santiago;Nombrado;DESVINCULADO;Ministerio de Energía;Superintendencia de Electricidad y Combustibles;2010-04-11;2010-07-05;;2010.0;2010.0;;0;1;0;85.0;2010-07-05;2010.0;1;2010-07-15;2010.0;2;2016-07-13;;2023-11-27 12:14:43.307
45;1039;II 365;II;Región de Arica y Parinacota;Desierto;Desierto en evaluación de candidatos (P2-P3);Ministerio de Salud;Servicio de Salud Arica;2011-10-23;;;2011.0;;;1;0;0;;2011-12-29;2011.0;1;;;0;;;2023-11-27 12:14:43.307
46;104;II 416;II;Región de  Valparaíso;Desierto;Desierto por Comité;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;2005-07-03;;;2005.0;;;1;0;0;;2005-09-26;2005.0;1;;;0;;;2023-11-27 12:14:43.307
47;1040;II 11;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Defensa Nacional;Caja de Previsión de la Defensa Nacional;2010-06-13;2010-09-14;;2010.0;2010.0;;0;1;0;93.0;2010-09-14;2010.0;1;2010-09-28;2010.0;2;2016-09-26;;2023-11-27 12:14:43.307
48;1041;II 31;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Defensa Nacional;Dirección General de Aeronáutica Civil;2010-04-11;2010-07-05;;2010.0;2010.0;;0;1;0;85.0;2010-07-05;2010.0;1;2010-07-28;2010.0;2;2016-07-26;;2023-11-27 12:14:43.307
49;1042;II 327;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Obras Públicas;Dirección de Vialidad;2010-05-16;2010-08-25;;2010.0;2010.0;;0;1;0;101.0;2010-08-25;2010.0;1;2010-09-14;2010.0;1;2013-09-13;;2023-11-27 12:14:43.307
50;1043;II 705;II;Región de  Coquimbo;Desierto;Desierto en Admisibilidad;Ministerio de Salud;Servicio de Salud Coquimbo;2012-04-15;;;2012.0;;;1;0;0;;2012-05-25;2012.0;1;;;0;;;2023-11-27 12:14:43.307
51;1044;II 583;II;Región de Magallanes y de la Antártica Chilena;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Magallanes;2011-04-10;2011-06-17;;2011.0;2011.0;;0;1;0;68.0;2011-06-17;2011.0;1;2011-06-29;2011.0;1;2014-06-28;;2023-11-27 12:14:43.307
52;1045;II 746;II;Región de Metropolitana de Santiago;Desierto;Desierto por Autoridad;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;2010-06-06;2010-09-08;2011-02-02;2010.0;2010.0;2011.0;1;1;0;94.0;2010-09-08;2010.0;1;;;0;;;2023-11-27 12:14:43.307
53;1046;II 761;II;Región de Metropolitana de Santiago;Desierto;Desierto por Autoridad;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;2010-06-06;2010-09-08;2011-02-02;2010.0;2010.0;2011.0;1;1;0;94.0;2010-09-08;2010.0;1;;;0;;;2023-11-27 12:14:43.307
54;1048;II 704;II;Región de  Atacama;Desierto;Desierto en Entrevistas;Ministerio de Salud;Servicio de Salud Atacama;2011-07-31;;;2011.0;;;1;0;0;;2011-11-03;2011.0;1;;;0;;;2023-11-27 12:14:43.307
55;1049;II 577;II;Región de Los Lagos;Nombrado;DESVINCULADO;Ministerio de Salud;Servicio de Salud Chiloé;2010-08-29;2010-12-06;;2010.0;2010.0;;0;1;0;92.0;2010-12-06;2010.0;1;2010-12-20;2010.0;2;2016-12-18;;2023-11-27 12:14:43.307
56;105;II 412;II;Región de  Valparaíso;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;2005-07-03;2005-11-16;;2005.0;2005.0;;0;1;0;136.0;2005-11-16;2005.0;1;2005-12-16;2005.0;1;2008-12-15;;2023-11-27 12:14:43.307
57;1052;II 340;II;Región de Metropolitana de Santiago;Desierto;Desierto por Autoridad;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;2010-05-16;2010-08-23;2010-11-16;2010.0;2010.0;2010.0;1;1;0;99.0;2010-08-23;2010.0;1;;;0;;;2023-11-27 12:14:43.307
58;1053;II 14;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Defensa Nacional;Caja de Previsión de la Defensa Nacional;2010-04-18;2010-07-12;;2010.0;2010.0;;0;1;0;85.0;2010-07-12;2010.0;1;2010-07-29;2010.0;1;2013-07-28;;2023-11-27 12:14:43.307
59;1054;II 264;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;2010-05-02;2010-08-06;;2010.0;2010.0;;0;1;0;96.0;2010-08-06;2010.0;1;2010-08-13;2010.0;1;2013-08-12;;2023-11-27 12:14:43.307
60;1055;II 265;II;Región de Metropolitana de Santiago;Desierto;Desierto por Autoridad;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;2010-05-02;2010-08-30;2011-02-15;2010.0;2010.0;2011.0;1;1;0;120.0;2010-08-30;2010.0;1;;;0;;;2023-11-27 12:14:43.307
61;1056;II 273;II;Región de Metropolitana de Santiago;Desierto;Desierto por Autoridad;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;2010-05-02;2010-08-30;2011-02-15;2010.0;2010.0;2011.0;1;1;0;120.0;2010-08-30;2010.0;1;;;0;;;2023-11-27 12:14:43.307
62;1057;II 642;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Energía;Comisión Chilena de Energía Nuclear;2011-12-11;2012-02-10;;2011.0;2012.0;;0;1;0;51.0;2012-02-10;2012.0;1;2012-03-02;2012.0;2;2018-03-01;;2023-11-27 12:14:43.307
63;1058;II 107;II;Región del Libertador General Bernardo OHiggins;Nombrado;Desvinculado;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;2010-06-06;2010-09-14;;2010.0;2010.0;;0;1;0;93.0;2010-09-14;2010.0;1;2010-10-04;2010.0;1;2013-10-03;;2023-11-27 12:14:43.307
64;1059;II 65;II;Región de Aysén del General Carlos Ibañez del Campo;Nombrado;DESVINCULADO;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;2010-05-02;2010-09-14;;2010.0;2010.0;;0;1;0;135.0;2010-09-14;2010.0;1;2010-10-04;2010.0;2;2016-10-02;;2023-11-27 12:14:43.307
65;106;II 402;II;Región de  Valparaíso;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Viña del Mar - Quillota;2005-07-03;2006-05-10;;2005.0;2006.0;;0;1;0;283.0;2006-05-10;2006.0;1;2006-05-11;2006.0;1;2009-05-10;;2023-11-27 12:14:43.307
66;1060;II 671;II;Región de Arica y Parinacota;Desierto;Desierto en evaluación de candidatos (P2-P3);Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;2015-03-29;;;2015.0;;;1;0;0;;2015-05-19;2015.0;1;;;0;;;2023-11-27 12:14:43.307
67;1061;II 247;II;Región de Tarapacá;Nombrado;Desvinculado;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;2014-09-14;2014-12-15;;2014.0;2014.0;;0;1;0;85.0;2014-12-15;2014.0;1;2015-04-16;2015.0;1;2018-04-15;;2023-11-27 12:14:43.307
68;1062;II 249;II;Región de  Atacama;Nombrado;Desvinculado;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;2014-11-02;2015-01-28;;2014.0;2015.0;;0;1;0;80.0;2015-01-28;2015.0;1;2015-04-28;2015.0;1;2018-04-27;;2023-11-27 12:14:43.307
69;1063;II 250;II;Región de  Coquimbo;Desierto;Desierto en Entrevistas;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;2015-04-19;;;2015.0;;;1;0;0;;2015-07-17;2015.0;1;;;0;;;2023-11-27 12:14:43.307
70;1064;II 252;II;Región del Libertador General Bernardo OHiggins;Desierto;Desierto por Autoridad;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;2014-06-08;2014-09-02;2015-05-05;2014.0;2014.0;2015.0;1;1;0;79.0;2014-09-02;2014.0;1;;;0;;;2023-11-27 12:14:43.307
71;1065;II 255;II;Región de la Araucanía;Nombrado;DESVINCULADO;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;2015-03-29;2015-05-28;2015-10-01;2015.0;2015.0;2015.0;0;1;0;53.0;2015-05-28;2015.0;1;2016-09-20;2016.0;2;2022-09-19;;2023-11-27 12:14:43.307
72;1066;II 258;II;Región de Magallanes y de la Antártica Chilena;Nombrado;Desvinculado;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;2014-09-14;2014-12-15;;2014.0;2014.0;;0;1;0;85.0;2014-12-15;2014.0;1;2015-04-20;2015.0;1;2018-04-19;;2023-11-27 12:14:43.307
73;1067;II 672;II;Región de Los Ríos;Nombrado;Desvinculado;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;2014-11-02;2015-01-28;;2014.0;2015.0;;0;1;0;80.0;2015-01-28;2015.0;1;2015-04-16;2015.0;1;2018-04-15;;2023-11-27 12:14:43.307
74;1068;II 246;II;Región de Metropolitana de Santiago;Nombrado;DESVINCULADO;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;2013-06-30;2013-09-12;;2013.0;2013.0;;0;1;0;67.0;2013-09-12;2013.0;1;2013-11-28;2013.0;2;2019-11-27;;2023-11-27 12:14:43.307
75;1069;II 251;II;Región de  Valparaíso;Nombrado;Desvinculado;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;2013-06-30;2013-09-12;;2013.0;2013.0;;0;1;0;67.0;2013-09-12;2013.0;1;2013-11-28;2013.0;2;2019-11-27;;2023-11-27 12:14:43.307
76;107;II 400;II;Región de  Valparaíso;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Viña del Mar - Quillota;2005-07-03;2005-11-16;;2005.0;2005.0;;0;1;0;136.0;2005-11-16;2005.0;1;2005-12-13;2005.0;2;2011-12-12;;2023-11-27 12:14:43.307
77;1070;II 256;II;Región de Los Lagos;Desierto;Desierto en evaluación de candidatos (P2-P3);Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;2015-04-19;;;2015.0;;;1;0;0;;2015-07-07;2015.0;1;;;0;;;2023-11-27 12:14:43.307
78;1071;II 257;II;Región de Aysén del General Carlos Ibañez del Campo;Nombrado;Desvinculado;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;2014-06-08;2014-09-05;;2014.0;2014.0;;0;1;0;82.0;2014-09-05;2014.0;1;2015-04-16;2015.0;1;2018-04-15;;2023-11-27 12:14:43.307
79;1072;II 731;II;Región de Magallanes y de la Antártica Chilena;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Magallanes;2011-07-31;2011-10-14;;2011.0;2011.0;;0;1;0;68.0;2011-10-14;2011.0;1;2011-10-26;2011.0;2;2017-10-24;;2023-11-27 12:14:43.307
80;1073;II 497;II;Región del Maule;Desierto;Desierto en evaluación de candidatos (P2-P3);Ministerio de Salud;Servicio de Salud Maule;2011-07-24;;;2011.0;;;1;0;0;;2011-09-28;2011.0;1;;;0;;;2023-11-27 12:14:43.307
81;1074;II 391;II;Región de  Coquimbo;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Coquimbo;2010-05-16;2010-08-03;;2010.0;2010.0;;0;1;0;72.0;2010-08-03;2010.0;1;2010-08-30;2010.0;1;2013-08-29;;2023-11-27 12:14:43.307
82;1075;II 402;II;Región de  Valparaíso;Nombrado;DESVINCULADO;Ministerio de Salud;Servicio de Salud Viña del Mar - Quillota;2015-12-06;2016-01-29;;2015.0;2016.0;;0;1;0;47.0;2016-01-29;2016.0;1;2016-03-03;2016.0;1;2019-03-03;;2023-11-27 12:14:43.307
83;1076;II 580;II;Región de Aysén del General Carlos Ibañez del Campo;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Aysén;2011-08-07;2011-10-24;;2011.0;2011.0;;0;1;0;71.0;2011-10-24;2011.0;1;2011-11-11;2011.0;1;2014-11-10;;2023-11-27 12:14:43.307
84;1078;II 383;II;Región de  Atacama;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Atacama;2010-05-16;2010-09-21;;2010.0;2010.0;;0;1;0;121.0;2010-09-21;2010.0;1;2010-12-02;2010.0;1;2013-12-01;;2023-11-27 12:14:43.307
85;1079;II 695;II;Región de Los Lagos;Desierto;Desierto por Autoridad;Ministerio de Salud;Servicio de Salud Chiloé;2013-07-14;2013-09-05;2013-10-14;2013.0;2013.0;2013.0;1;1;0;46.0;2013-09-05;2013.0;1;2013-09-27;2013.0;1;2016-09-26;;2023-11-27 12:14:43.307
86;108;II 404;II;Región de  Valparaíso;Desierto;Desierto por Comité;Ministerio de Salud;Servicio de Salud Viña del Mar - Quillota;2005-07-03;;;2005.0;;;1;0;0;;2005-09-26;2005.0;1;;;0;;;2023-11-27 12:14:43.307
87;1080;II 716;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Metropolitano Norte;2011-09-04;2011-11-11;;2011.0;2011.0;;0;1;0;61.0;2011-11-11;2011.0;1;2011-12-20;2011.0;1;2014-12-19;;2023-11-27 12:14:43.307
88;1081;I 49;I;Región de Arica y Parinacota;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Arica;2010-04-25;2010-07-22;;2010.0;2010.0;;0;1;0;81.0;2010-07-22;2010.0;1;2010-09-10;2010.0;2;2016-09-08;;2023-11-27 12:14:43.307
89;1082;I 68;I;Región del Biobío;Desierto;Desierto por Autoridad;Ministerio de Salud;Servicio de Salud Biobío;2010-05-30;2010-08-30;2010-10-14;2010.0;2010.0;2010.0;1;1;0;85.0;2010-08-30;2010.0;1;;;0;;;2023-11-27 12:14:43.307
90;1083;II 741;II;Región del Maule;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Maule;2011-04-17;2011-06-17;;2011.0;2011.0;;0;1;0;54.0;2011-06-17;2011.0;1;2011-09-09;2011.0;2;2017-09-07;;2023-11-27 12:14:43.307
